	userid	items_recommended
35	322	449,119,1643,867,814,1282,1398,127,357,408
36	513	233,1278,1192,626,313,174,966,318,496,814
37	78	233,814,318,496,1347,313,1599,174,64,50
38	918	639,1642,1175,543,889,344,1449,1193,947,1240
39	321	14,1643,1599,1449,867,851,1398,119,1122,868
40	362	233,1607,272,313,1612,1358,318,64,1294,113
41	613	449,119,814,357,64,318,12,867,483,1467
42	633	233,313,174,318,1347,50,1607,64,1169,22
43	673	14,1449,867,1599,1398,1122,119,1064,318,1233
44	857	233,1358,1642,626,318,947,1449,272,963,113
45	593	233,318,313,1358,64,272,1449,626,1064,496
46	375	347,814,50,174,408,114,169,172,867,1473
47	876	449,64,318,1398,1122,867,119,1607,12,272
48	597	233,1449,318,1122,867,64,814,1398,1651,1645
49	683	14,641,1643,1449,867,1368,119,1367,408,169
50	744	449,1282,1358,119,357,1398,64,318,12,867
51	155	449,1358,1282,357,318,64,119,1398,113,272
52	108	449,1398,1642,1636,1645,1650,1651,1643,867,1524
53	530	233,1642,1449,1398,626,1651,1636,1650,1645,1122
54	211	233,626,1192,313,966,496,1594,1278,22,1152
55	642	278,1431,1192,1605,1400,1159,701,1443,1169,394
56	193	233,814,1599,1449,318,1358,1064,626,483,867
57	34	175,1639,1642,889,1131,1636,1651,1650,1645,1240
58	796	233,313,174,1347,1192,1269,318,50,22,626
59	368	368,1268,899,1495,114,1467,320,1019,1589,1629
60	101	233,1347,1467,313,174,22,50,64,1607,318
61	772	467,1449,64,1347,12,318,1607,50,357,119
62	115	368,1524,1268,320,1367,1629,179,641,1388,114
63	126	278,1104,1159,1598,793,1298,851,1429,1203,814
64	756	449,867,814,1398,1122,1651,1636,1645,1650,119
65	830	233,814,318,1347,174,496,50,1599,313,64
66	81	233,64,318,272,1607,313,1467,1358,113,316
67	874	449,1643,1398,119,867,814,1282,1642,1405,1651
68	385	643,851,1536,1558,1367,1405,1499,1203,641,1524
69	847	233,1645,1636,1651,1650,867,1122,1278,1398,1169
70	939	233,814,318,626,174,867,1122,1278,1169,313
71	210	449,814,867,318,1398,1122,119,1599,483,408
72	183	14,1599,1449,867,1398,1233,1122,1064,119,483
73	436	607,1612,1293,850,1467,1431,64,817,1650,1645
74	28	467,1607,1347,1589,899,114,1368,1268,169,12
75	762	99,1589,1607,1467,320,42,156,1268,1495,1015
76	596	233,626,313,1192,318,1594,22,496,966,1294
77	497	607,1467,850,1612,1293,899,64,12,817,1019
78	300	431,1159,1131,962,884,1022,1394,817,1175,1137
79	412	449,814,867,1122,1398,119,169,408,1636,1650
80	842	368,641,1367,169,1268,114,1500,867,408,179
81	784	449,867,1122,1650,1636,1651,1645,814,1398,169
82	406	449,867,1645,1650,1636,1651,1398,169,1122,1368
83	787	233,626,313,496,318,174,1192,22,1594,814
84	731	233,1358,626,318,496,1064,1599,1327,947,113
85	587	449,867,1122,169,1645,1636,1650,1651,1607,1398
86	723	467,1347,1607,1612,64,613,1233,313,50,1589
87	914	278,1598,1159,1104,1429,793,1192,1298,1394,668
88	76	643,814,1449,1405,119,1558,851,1142,1367,867
89	667	643,814,1449,1599,1512,119,867,483,644,1398
90	688	278,814,867,1169,1122,1233,626,1398,1192,1651
91	501	607,1449,850,1467,1636,1650,1645,1651,1282,169
92	332	607,1467,1293,701,169,1169,1431,1019,1612,850
93	26	347,814,1449,50,318,119,64,867,1467,483
94	626	142,357,1143,1449,1282,1589,119,56,1467,127
95	27	607,899,850,320,817,1467,1282,1293,1019,1612
96	577	233,626,1192,318,1278,1122,814,867,1169,313
97	831	347,1233,50,1467,174,1473,64,318,313,172
98	384	67,814,1398,1651,1636,1650,1645,1449,1122,1278
99	271	449,814,119,1599,318,483,1358,867,357,603
100	811	607,1431,817,1293,1233,1612,776,1131,1651,1650
101	192	449,1524,1398,1643,1651,1636,1645,1650,1282,867
102	743	642,1131,1398,1449,1650,1651,1636,1645,793,1175
103	44	347,114,169,1467,50,867,814,408,1169,1449
104	844	233,1449,318,814,867,64,1122,1398,119,50
105	606	607,1233,1449,64,318,1467,1122,272,313,867
106	916	449,1282,1398,1642,1643,119,867,1358,357,1650
107	908	449,814,867,1398,1233,1122,318,1599,1645,1651
108	159	233,1607,1612,1294,313,817,1293,1467,272,64
109	253	233,1347,174,50,814,318,313,496,64,1269
110	806	449,867,814,119,169,1122,1398,114,408,1467
111	460	449,543,1512,1643,1282,1358,1642,947,1639,1398
112	103	449,64,1607,318,1467,272,12,1282,1358,357
113	236	233,1358,1642,947,1449,626,543,1599,1398,963
114	329	449,814,1398,1599,867,1358,119,1642,318,1122
115	350	643,814,1449,867,1599,119,851,1398,408,483
116	12	233,1358,272,318,64,113,313,316,1449,1607
117	336	467,1589,1607,899,12,1282,1347,357,64,613
118	860	449,1398,1642,867,1650,1636,1645,1651,814,1122
119	223	233,1347,313,174,1269,22,50,966,1594,496
120	738	347,1467,50,114,169,172,174,408,814,613
121	602	607,1431,1233,1293,701,1169,1651,1645,1636,1650
122	417	607,1449,1467,64,318,1122,12,867,169,1398
123	388	607,1612,1467,1233,1293,817,1431,850,313,1664
124	548	347,50,1467,114,169,1269,172,174,1169,1368
125	91	467,1607,1347,1612,64,613,50,1233,313,174
126	663	607,1467,64,1449,850,318,272,12,1612,1293
127	926	449,1282,357,1358,119,12,1398,127,1643,64
128	578	233,1294,313,22,1192,1612,1516,1594,966,394
129	409	643,1449,814,1405,119,1558,851,1599,867,1142
130	822	67,169,814,1449,1368,114,408,1122,119,1169
131	333	233,1347,174,313,50,1269,318,626,496,814
132	707	639,1175,1642,543,344,947,1193,889,1449,1512
133	601	41,1367,1368,1643,1397,814,1536,408,851,867
134	222	233,1607,1467,64,272,1612,1347,313,318,12
135	285	467,1347,1589,1607,899,12,613,64,50,357
136	875	449,867,814,1643,119,1398,1368,169,408,1651
137	330	233,318,626,1449,1122,867,1398,1064,1650,1651
138	22	347,1589,1467,1143,114,1368,50,1142,954,1268
139	372	607,1431,1293,817,1651,1650,1645,1636,1642,850
140	604	159,1278,1431,1429,1656,1131,1022,1394,1368,1298
141	685	368,1656,1104,641,1159,1245,851,1367,1500,1203
142	727	347,1467,50,174,172,114,64,318,1233,169
143	128	449,814,867,119,318,64,1398,1122,12,483
144	209	14,1347,50,408,867,119,1449,483,174,1473
145	230	233,1358,318,626,313,272,64,113,496,1064
146	122	643,851,1558,793,868,1405,1193,1449,863,1099
147	493	347,1467,50,1607,174,1589,114,172,613,1269
148	625	449,867,1398,1651,1636,1645,1650,814,1122,169
149	686	449,1524,1282,1398,1642,1645,1650,1651,1636,119
150	319	233,1607,318,1122,64,1449,313,867,1467,1650
151	190	347,1467,1233,50,174,313,64,613,1607,1589
152	232	449,1643,867,1398,814,1650,1636,1651,1645,1642
153	93	278,1598,1159,793,1104,1298,1429,1394,851,1131
154	233	449,1233,1398,1642,867,318,1122,1651,1650,1645
155	924	449,814,867,1398,1122,1599,119,318,483,1645
156	225	14,867,408,641,119,1449,1599,483,1643,50
157	157	449,119,814,867,114,169,408,1368,641,1122
158	758	368,867,814,641,169,1449,408,114,119,1122
159	360	449,1643,1398,867,814,119,1642,1650,1636,1651
160	861	233,1358,1642,1449,626,1599,947,1398,1064,963
161	725	642,1639,1175,1131,1431,1137,344,1651,1645,1650
162	855	14,1142,1449,1347,119,357,483,408,178,50
163	246	99,1282,1524,320,1240,56,1449,1388,1607,156
164	346	347,50,1233,174,1467,1269,172,313,1473,114
165	476	347,1467,1589,64,1607,50,12,613,357,174
166	367	607,899,1467,1368,1268,850,114,1019,1589,169
167	539	233,1599,1449,626,1358,814,1398,1642,1064,1194
168	599	233,1431,1607,1192,1664,1612,1293,394,817,776
169	111	14,1347,50,408,867,1449,119,174,483,169
170	224	233,313,22,496,1594,1516,1347,626,1294,174
171	654	233,1347,174,318,50,814,313,64,496,22
172	519	175,1639,344,817,889,1240,1642,904,1131,753
173	47	643,1449,1405,1558,851,1398,814,867,1524,119
174	140	14,1599,1449,867,1643,1398,1064,119,483,1122
175	711	449,1643,1642,1398,1599,1193,814,867,851,1645
176	416	233,318,313,64,1347,272,174,22,1449,50
177	556	449,357,119,1643,1142,814,1358,1282,483,178
178	177	467,1449,114,1589,12,1282,119,169,1368,357
179	827	607,1642,1449,1636,1651,1645,1650,1293,850,1431
180	671	233,1347,313,1607,1467,1612,22,174,64,318
181	132	643,1405,1449,1558,1524,119,851,814,1398,867
182	152	233,626,313,318,496,22,1594,1192,966,174
183	444	607,1467,1612,850,64,1589,12,613,1347,1293
184	665	607,1642,1639,1449,1650,1636,1645,1651,850,1431
185	882	233,814,1347,318,50,174,1449,867,483,64
186	353	233,1449,814,1358,318,1599,427,483,119,357
187	694	14,1449,318,867,1233,50,119,1122,1347,64
188	185	449,1233,1358,1599,814,318,1064,1398,483,427
189	305	449,1643,814,867,1398,851,1599,1645,1636,1651
190	355	636,1650,1651,1645,867,1431,1368,1449,1131,1398
191	696	449,1639,1642,1282,1358,543,344,947,1240,1398
192	747	449,814,1643,119,867,483,408,1599,1398,603
193	618	347,1233,814,50,318,174,64,1449,1473,483
194	291	449,867,1398,119,1645,1651,1650,1636,1122,1607
195	325	643,851,1558,1405,1536,1367,814,1203,641,1449
196	386	642,1449,1636,1645,1651,1650,1398,1639,1131,1175
197	906	449,1358,1642,1398,1282,318,1639,1645,1636,1650
198	660	14,867,1449,408,119,641,169,1122,1398,1599
199	581	524,1368,320,1629,179,1405,1388,60,1536,1240
200	912	14,1233,1599,1449,867,1064,626,1398,318,1122
201	473	449,1282,357,1643,119,1142,127,12,1358,603
202	603	645,1651,1636,1650,1431,1169,1159,867,701,1131
203	774	347,1142,641,814,1143,114,408,119,50,1397
204	435	607,1467,1368,899,850,114,169,320,1268,1019
205	935	233,1294,1607,1612,313,1192,22,626,1664,394
206	748	467,1347,114,1607,50,1449,12,1589,169,64
207	704	449,1643,814,867,1398,1599,119,1122,483,1642
208	146	639,1175,1607,817,1642,889,1431,1240,344,1131
209	512	282,1449,1607,357,1240,12,64,850,1639,1358
210	797	347,641,50,114,1500,1397,1368,172,169,408
211	259	449,1282,1607,12,64,1467,1398,119,357,850
212	1	449,119,814,1643,1142,408,867,357,127,114
213	206	347,1589,1467,1143,1142,1141,50,954,172,1473
214	896	347,50,1473,1467,174,318,64,1233,172,357
215	770	642,1449,1645,1636,1651,1650,1398,1131,1122,867
216	52	449,1398,867,1642,814,1122,119,1650,1636,1651
217	363	368,1268,114,1467,169,899,1589,1347,1607,1019
218	297	449,1642,1282,1398,1358,64,318,1651,1645,1636
219	777	607,1612,1467,850,1293,64,817,12,272,1449
220	768	14,1233,1599,1449,867,318,483,1064,119,1122
221	212	233,313,1612,1294,272,1607,318,22,64,1594
222	674	233,1607,1612,272,64,313,318,316,113,1358
223	715	467,1347,1607,1589,64,12,613,357,272,1612
224	631	449,1642,1282,1398,1650,1651,1636,1645,1639,867
225	274	449,814,318,1233,64,119,867,1398,1358,483
226	182	233,1347,318,313,174,50,496,814,64,22
227	442	99,1467,1607,1589,850,1282,1368,320,114,12
228	792	99,1607,817,1467,1612,850,320,1589,1019,1268
229	689	607,1467,1347,701,115,1019,114,169,1169,1612
230	699	131,1431,1650,1651,1636,1645,1642,1159,1175,889
231	280	642,1131,1645,1636,1650,1651,1398,1431,1449,1623
232	440	639,1607,344,1642,1282,1175,1240,889,1449,817
233	13	14,1643,867,1599,1449,408,851,119,641,1398
234	734	233,626,1599,318,1064,496,814,1358,1449,313
235	218	449,1467,357,12,1282,64,119,1589,1607,1347
236	348	607,1233,1431,1612,1293,817,1664,701,850,1467
237	760	639,1240,1607,1282,1175,344,817,889,1642,850
238	474	449,814,119,867,318,1398,483,64,1122,357
239	6	643,814,1449,851,1599,119,867,1558,408,1405
240	16	347,1467,50,64,1607,114,12,174,613,318
241	86	240,1282,1639,889,1449,1524,1642,1175,344,753
242	636	607,817,1612,899,1431,1275,1293,850,776,1019
243	572	643,814,1599,1449,867,1398,1512,851,868,718
244	852	169,169,1607,701,867,1122,1636,1651,1650,1645
245	205	233,1467,1347,1607,64,313,272,318,1612,613
246	887	607,817,1612,899,1467,1293,850,776,914,1431
247	168	233,1347,313,174,22,318,50,64,1467,496
248	142	449,1642,1398,1282,1358,1636,1645,1650,1651,1639
249	3	607,1467,1449,1282,64,12,850,357,272,1589
250	925	607,1612,817,1467,1293,850,1431,776,899,1233
251	178	233,1347,313,174,1467,50,22,318,64,1269
252	867	449,867,814,1398,119,169,1651,1636,1650,1645
253	308	449,1645,1650,1636,1651,867,1398,169,1122,119
254	328	233,318,1449,64,814,313,272,867,1122,174
255	20	278,1192,1443,1605,1483,1233,1389,626,1160,1429
256	40	233,1449,1642,1358,1398,963,318,1636,1650,1651
257	470	449,64,1467,1607,318,12,272,357,1282,316
258	164	233,1607,1192,318,626,1122,1431,313,1293,1650
259	429	449,119,357,12,1467,1282,64,814,867,127
260	839	368,1169,169,1500,641,867,114,701,814,1268
261	500	524,1449,1636,1650,1645,1651,1642,889,1062,320
262	169	233,626,318,1192,313,1122,1607,1064,1449,64
263	283	14,169,867,114,408,641,1169,1368,50,1449
264	139	639,889,1175,1240,1642,1282,1449,1524,1645,1651
265	359	449,867,1398,814,1122,119,1636,1651,1650,1645
266	479	347,1467,50,64,357,12,318,174,1449,1589
267	340	233,313,1347,22,1294,1516,174,1594,496,1269
268	431	233,313,318,626,64,272,22,1594,1607,496
269	881	347,1467,50,174,64,1233,318,1607,313,114
270	692	607,1467,64,1612,272,12,1233,613,318,1347
271	295	449,1398,867,1636,1651,1645,1650,814,1642,1122
272	250	449,1642,1398,1645,1636,1651,1650,867,1639,1358
273	402	14,1233,1449,318,1599,1347,483,119,867,50
274	432	233,1607,64,272,318,1612,1358,313,316,1467
275	582	449,1643,119,814,867,1398,408,1122,1650,1636
276	94	449,1643,1398,119,867,814,1405,1282,1642,1650
277	377	347,50,1467,174,114,172,814,169,1473,408
278	570	175,1639,1642,889,1585,1131,793,1193,344,1137
279	920	467,1347,114,1589,50,169,12,1607,613,172
280	57	233,1449,318,1607,1122,64,867,1398,1645,1651
281	868	143,1142,1388,1367,1524,1368,56,1643,179,1629
282	647	449,867,1122,1650,1636,1645,1651,1398,1233,814
283	292	449,119,867,1282,12,357,1467,814,1398,114
284	923	607,1651,1650,1645,1636,1449,850,1122,1398,867
285	306	449,1282,1398,1642,1524,1643,1636,1645,1650,1651
286	676	233,318,313,174,1347,64,814,50,496,22
287	339	449,1643,119,814,867,1398,1405,1524,1282,127
288	919	449,867,1398,1122,1636,1650,1645,1651,814,1642
289	120	233,1358,1642,1449,947,1398,963,543,1599,626
290	54	17,1607,1639,1431,1175,776,1612,1293,1642,850
291	559	645,1651,1650,1636,1431,1159,1131,867,1398,1122
292	491	449,1358,357,318,64,119,1282,814,483,1398
293	634	607,1233,64,1467,272,1612,1449,318,850,316
294	646	233,1607,1293,318,1431,1612,64,272,313,1645
295	620	431,1278,1607,701,1169,1293,1019,1192,1159,1400
296	871	347,1467,114,1368,50,169,1268,1607,1169,172
297	235	449,1643,814,119,1398,867,1599,483,1358,603
298	545	607,701,1169,169,1467,1293,1019,1431,114,1122
299	96	14,867,641,1169,169,408,1278,1122,1368,1449
300	776	14,169,1368,814,408,867,641,1347,50,1169
301	846	347,1467,114,1449,169,50,814,119,408,867
302	840	449,1643,814,1398,867,1636,1651,1650,1645,1599
303	452	14,1233,1599,1449,867,318,483,119,408,1064
304	732	278,814,1192,1169,867,626,945,1233,1122,1599
305	650	449,814,867,169,1122,119,408,114,1398,1651
306	544	449,814,867,119,1398,1599,483,318,1122,603
307	266	449,1643,814,1358,119,1599,357,1512,483,427
308	507	431,1233,1607,1192,1278,1293,1131,1664,1400,394
309	48	347,50,1467,114,174,172,169,814,408,64
310	191	449,64,1358,318,1282,1398,1642,272,12,357
311	163	347,50,1467,174,1473,172,1233,64,318,313
312	5	368,1268,1397,641,1056,1500,1367,114,1154,169
313	268	449,119,1467,357,12,1282,114,867,169,814
314	258	233,626,1192,496,313,1278,966,318,1064,1594
315	279	368,1656,1159,1278,1500,1491,1022,1268,1019,1245
316	709	347,1467,1607,50,174,613,114,1612,64,313
317	729	233,626,1192,496,313,966,1278,318,1594,1064
318	430	14,1599,1449,867,1233,318,483,119,408,1064
319	754	449,1645,1651,1650,1636,1642,1607,1398,850,1122
320	397	142,814,1347,119,1449,1643,1141,408,357,1143
321	19	14,851,1643,867,641,1203,1104,1599,1449,408
322	560	449,1398,1636,1645,1651,1650,867,1642,1122,119
323	92	449,1398,867,119,1636,1651,1645,1650,1122,1642
324	542	449,867,814,119,169,1398,408,1122,1368,641
325	553	449,1398,1642,119,1282,867,814,1358,1643,1122
326	836	347,1142,814,1141,50,1143,408,119,641,114
327	419	14,1233,1599,1449,318,483,867,119,1064,1358
328	780	233,1347,174,50,313,1269,318,496,814,22
329	415	607,1282,1449,64,1467,12,850,272,357,1358
330	641	449,1524,1643,1405,1398,1642,1651,1645,1636,1650
331	644	431,1131,1607,1650,1645,1651,1636,1159,1293,1278
332	826	607,1431,1293,1650,1645,1651,1636,850,1019,701
333	257	449,1398,1282,119,867,1642,1636,1651,1650,1645
334	299	449,1398,867,1650,1636,1645,1651,1642,119,1122
335	64	14,1347,408,867,1449,119,50,114,169,483
336	117	607,1449,1650,1651,1645,1636,850,1467,1122,1398
337	227	643,851,1449,814,1558,1599,867,1398,1405,868
338	579	233,1347,318,64,313,1467,50,174,272,22
339	504	642,1233,1650,1636,1651,1645,1431,1449,1607,1131
340	554	233,318,313,64,814,174,1347,50,496,1449
341	764	233,318,313,1449,64,1122,626,814,867,1064
342	886	347,1467,1589,1607,613,50,12,114,899,64
343	936	449,1636,1650,1651,1645,1524,1398,1642,1062,867
344	598	233,1358,1607,272,318,64,113,313,316,1642
345	41	449,1368,867,814,641,169,119,408,114,1643
346	931	233,1358,1449,318,1642,272,113,1064,64,626
347	154	449,119,1282,1643,357,1143,1142,56,1524,127
348	904	233,626,1642,1192,1431,1645,1651,1636,1650,1398
349	425	99,1368,1268,320,1607,1467,1495,1019,1589,1629
350	309	368,1607,169,701,114,1169,1467,1268,1019,1347
351	484	233,1347,174,50,318,313,64,1467,22,814
352	455	14,1449,867,1122,318,169,119,1398,408,50
353	347	607,1467,1612,899,1589,1347,613,64,12,850
354	447	449,1467,1607,114,169,12,119,867,64,1122
355	607	449,814,1643,119,867,408,641,169,114,1398
356	43	233,318,1347,174,313,814,50,64,496,22
357	15	233,1358,318,626,496,1599,1064,313,113,272
358	845	233,626,1192,1064,1278,1642,1398,1122,1636,1651
359	511	449,1642,1398,1651,1636,1650,1645,1639,1358,1122
360	262	642,1449,1645,1636,1651,1650,1398,1131,1122,867
361	929	449,814,119,357,483,867,603,1643,318,1398
362	112	233,1358,1642,272,344,1639,318,963,113,947
363	269	643,1405,1558,1524,851,1536,60,1367,1499,1512
364	563	233,318,64,1347,1467,313,1449,50,174,272
365	615	643,814,1449,1599,119,867,483,408,1398,603
366	327	449,1398,1642,1643,867,1636,1651,1650,1645,814
367	849	607,1233,1431,1293,1612,1664,701,1467,313,1651
368	165	278,867,1169,814,1645,1651,1636,1650,1159,1122
369	775	449,1358,1642,1398,1233,1639,318,1282,963,272
370	666	449,1398,867,1643,814,119,1650,1645,1636,1651
371	843	368,1607,1019,1268,701,169,1169,1431,114,115
372	854	449,119,1643,867,814,1282,1398,127,1524,357
373	366	607,320,1175,1240,817,889,899,1639,1524,850
374	358	643,851,793,1558,1512,1405,1099,1193,868,1585
375	590	512,1643,543,1405,1558,1449,1193,947,14,1099
376	862	607,1651,1636,1650,1645,1431,1449,1642,1131,1398
377	675	643,1512,1558,1405,851,543,1099,868,718,1193
378	207	233,1449,318,814,626,867,1398,1122,1064,1599
379	179	17,899,1607,1612,1275,850,1467,695,1410,776
380	189	449,814,119,1643,867,483,1398,408,357,127
381	489	607,1347,1467,701,1169,50,114,169,115,174
382	383	643,1449,814,867,1398,119,1599,1405,851,483
383	37	607,850,1467,1368,899,1449,1650,1636,1651,1645
384	659	449,814,867,1599,1398,1122,119,318,483,1064
385	61	233,1278,814,626,867,1192,1169,174,50,318
386	461	51,1104,1643,793,1203,1558,1159,1298,1598,1405
387	502	607,1467,1612,1019,1293,701,850,115,1368,1431
388	523	233,626,814,867,1398,1449,1122,1599,1064,318
389	316	512,543,947,1193,887,1099,1628,1643,1642,1639
390	127	278,1159,1656,1429,1368,1491,1104,1483,1500,1413
391	937	14,851,1643,867,1203,1599,641,1104,1398,1449
392	819	449,1282,1639,1643,1524,1240,1405,1642,543,889
393	531	233,1358,626,947,543,1449,1599,1064,1642,318
394	903	449,1282,119,357,12,1398,1467,127,867,64
395	486	643,1449,814,1398,867,851,1599,1558,119,1405
396	197	347,814,50,174,1233,1169,1269,867,408,1278
397	88	431,1131,1159,817,962,1607,1394,1400,1651,1650
398	462	233,626,313,496,318,1358,22,1594,272,1516
399	547	449,64,318,357,12,1467,119,1358,814,272
400	318	233,318,626,1358,1064,496,1449,313,814,1599
401	891	233,1642,626,1449,1398,1645,1651,1650,1636,1599
402	202	347,1233,50,174,1269,814,172,1473,1169,408
403	263	233,814,1449,1599,318,1358,483,1064,427,119
404	374	233,1607,318,313,64,272,1293,22,626,316
405	564	233,814,626,1599,867,1449,1398,1064,1122,318
406	107	524,1240,889,1175,320,1639,60,1005,1282,1405
407	619	233,174,814,1347,50,318,313,626,1269,1278
408	231	233,1278,1192,1431,626,1605,1160,1400,1443,1169
409	552	449,1233,1607,1642,1398,1651,1636,1650,1645,1122
410	17	347,1142,1143,1589,1467,1141,357,1144,114,50
411	9	67,1368,814,169,1169,641,1645,1651,1636,1650
412	324	607,1612,850,817,1293,1467,64,1431,899,12
413	586	607,817,1612,899,1467,1293,850,776,1431,914
414	609	512,543,887,1099,1643,947,1327,868,1193,1599
415	72	642,1639,1358,1449,344,947,543,1175,1398,963
416	505	233,626,313,1192,318,1294,1594,22,272,496
417	286	431,1131,1159,1645,1636,1650,1651,1642,1607,1623
418	398	233,1347,318,814,50,64,174,313,1449,1473
419	538	14,1449,1599,119,867,483,318,408,1398,603
420	423	449,1358,1642,1398,1233,318,1599,814,867,1064
421	175	233,318,496,313,626,22,814,1064,174,1594
422	695	175,1524,889,1585,1240,1639,320,1159,1131,1005
423	746	347,1467,1589,1607,50,613,114,64,174,172
424	387	368,1143,1524,1367,1388,1629,320,179,1268,114
425	850	233,1347,313,174,22,50,1269,318,1467,64
426	381	14,1449,1643,867,119,1599,408,483,1398,1122
427	721	233,867,1122,1169,814,318,169,1449,1607,50
428	498	643,1449,1405,1524,119,814,867,1398,851,1558
429	610	358,1449,1233,318,1599,814,64,427,113,357
430	880	449,1607,867,1650,1645,1651,1636,1398,1122,169
431	761	233,313,22,1347,1294,1516,174,1594,966,496
432	503	14,1643,851,867,1599,641,1449,408,1398,1203
433	583	449,1643,1524,1405,1398,867,1636,1650,1651,1645
434	594	449,1398,1650,1636,1651,1645,867,1642,1122,814
435	614	368,1019,169,1268,1169,701,114,1500,867,1651
436	35	233,1607,1612,1294,817,394,1431,313,1664,1192
437	677	17,1607,1431,1275,1612,899,776,1293,914,850
438	739	159,1278,1104,1131,1298,1429,1431,793,1656,1394
439	310	512,1358,1599,1327,1449,543,1643,1233,814,947
440	870	449,814,119,867,408,1398,1643,169,1122,483
441	900	449,1358,1233,318,64,357,814,113,119,272
442	742	449,1643,1282,1358,1512,543,357,119,1398,814
443	485	524,1368,320,889,1062,1636,1645,1651,1650,1585
444	568	643,814,1599,851,1449,867,1398,868,1558,718
445	698	607,1467,1233,1347,1612,64,313,613,272,318
446	838	449,814,867,1122,1398,119,408,169,1651,1636
447	834	467,1607,64,1347,12,318,1449,272,613,357
448	196	233,1449,318,1122,1650,1645,1636,1651,1398,1642
449	456	449,1282,1524,1642,1398,1240,1645,1636,1650,1651
450	437	643,814,1599,1449,867,851,1398,868,119,718
451	829	449,814,119,1643,867,1599,1398,483,603,408
452	290	233,1347,174,313,1269,50,22,318,1467,1594
453	800	67,814,1449,1122,1398,1645,1650,1651,1636,1233
454	441	278,814,1169,867,50,169,408,1233,174,1122
455	733	643,1449,1512,814,543,1599,119,1358,1405,644
456	884	643,1449,814,1405,851,1558,867,119,1398,1599
457	217	607,1431,817,1293,1612,776,1233,1664,1131,850
458	823	449,1398,119,867,814,1122,1282,1650,1651,1645
459	326	347,50,814,174,1269,172,408,1169,169,114
460	766	449,867,1398,814,119,1122,1636,1650,1651,1645
461	307	368,169,641,814,114,867,408,1449,119,1169
462	537	643,1449,1405,119,814,1398,1282,867,1512,1558
463	229	639,344,1642,1358,947,1233,543,1175,1449,963
464	220	233,1449,318,814,1358,1599,1064,1398,867,64
465	810	14,1278,867,1169,1122,169,408,1398,1449,1651
466	890	643,814,1449,119,867,1599,851,1405,1558,408
467	301	347,1467,1607,50,114,169,174,1169,172,613
468	173	449,1398,867,1636,1645,1651,1650,1122,814,1642
469	713	449,64,318,1398,1282,1358,119,357,12,867
470	813	607,1467,1612,850,1293,64,12,272,613,1449
471	114	41,1368,1367,814,1643,851,1203,1397,1500,867
472	494	347,1467,1607,1233,64,313,1612,613,174,1589
473	278	449,64,318,1467,1233,272,357,12,1358,113
474	669	643,814,1449,1142,119,1599,483,408,867,511
475	4	131,1642,1645,1636,1651,1650,1398,1449,1159,1431
476	684	233,814,174,318,867,50,1169,1122,1347,1278
477	55	347,1589,1467,1143,899,357,12,1142,114,50
478	445	449,357,1347,119,1142,1467,12,64,814,127
479	59	449,1282,1607,850,1642,1240,1636,1645,1650,1651
480	100	233,313,1607,1612,272,22,64,318,1294,1594
481	450	233,1449,318,814,1398,867,1122,64,1064,1650
482	930	233,1358,1642,1449,626,1599,947,1398,1064,543
